,DARE,IR
0,1946-01-01,
1,1946-02-01,
2,1946-03-01,
3,1946-04-01,
4,1946-05-01,
5,1946-06-01,
6,1946-07-01,
7,1946-08-01,
8,1946-09-01,
9,1946-10-01,
10,1946-11-01,
11,1946-12-01,0.325
12,1947-01-01,0.322
13,1947-02-01,0.326
14,1947-03-01,0.318
15,1947-04-01,0.302
16,1947-05-01,0.288
17,1947-06-01,0.328
18,1947-07-01,0.378
19,1947-08-01,0.528
20,1947-09-01,0.742
21,1947-10-01,0.732
22,1947-11-01,0.814
23,1947-12-01,0.904
24,1948-01-01,0.959
25,1948-02-01,0.968
26,1948-03-01,0.978
27,1948-04-01,0.984
28,1948-05-01,0.987
29,1948-06-01,0.975
30,1948-07-01,0.992
31,1948-08-01,1.063
32,1948-09-01,1.082
33,1948-10-01,1.084
34,1948-11-01,1.101
35,1948-12-01,1.11
36,1949-01-01,1.126
37,1949-02-01,1.139
38,1949-03-01,1.114
39,1949-04-01,1.123
40,1949-05-01,1.092
41,1949-06-01,1.016
42,1949-07-01,0.96
43,1949-08-01,0.982
44,1949-09-01,1.01
45,1949-10-01,0.985
46,1949-11-01,1.011
47,1949-12-01,1.035
48,1950-01-01,1.072
49,1950-02-01,1.1
50,1950-03-01,1.084
51,1950-04-01,1.112
52,1950-05-01,1.136
53,1950-06-01,1.129
54,1950-07-01,1.158
55,1950-08-01,1.246
56,1950-09-01,1.291
57,1950-10-01,1.184
58,1950-11-01,1.307
59,1950-12-01,1.25
60,1951-01-01,1.209
61,1951-02-01,1.21
62,1951-03-01,1.439
63,1951-04-01,1.329
64,1951-05-01,1.344
65,1951-06-01,1.382
66,1951-07-01,1.491
67,1951-08-01,1.538
68,1951-09-01,1.596
69,1951-10-01,1.258
70,1951-11-01,1.388
71,1951-12-01,1.696
72,1952-01-01,1.332
73,1952-02-01,1.342
74,1952-03-01,1.374
75,1952-04-01,1.579
76,1952-05-01,1.642
77,1952-06-01,1.747
78,1952-07-01,1.802
79,1952-08-01,1.712
80,1952-09-01,1.459
81,1952-10-01,1.589
82,1952-11-01,1.781
83,1952-12-01,1.941
84,1953-01-01,1.819
85,1953-02-01,2.019
86,1953-03-01,1.987
87,1953-04-01,2.062
88,1953-05-01,1.935
89,1953-06-01,1.606
90,1953-07-01,1.936
91,1953-08-01,1.79
92,1953-09-01,1.22
93,1953-10-01,0.975
94,1953-11-01,1.439
95,1953-12-01,1.248
96,1954-01-01,0.958
97,1954-02-01,0.887
98,1954-03-01,0.985
99,1954-04-01,0.673
100,1954-05-01,0.603
101,1954-06-01,0.62
102,1954-07-01,0.679
103,1954-08-01,1.107
104,1954-09-01,0.903
105,1954-10-01,0.845
106,1954-11-01,0.929
107,1954-12-01,0.949
108,1955-01-01,1.097
109,1955-02-01,1.139
110,1955-03-01,1.328
111,1955-04-01,1.496
112,1955-05-01,1.152
113,1955-06-01,1.271
114,1955-07-01,1.667
115,1955-08-01,1.948
116,1955-09-01,2.145
117,1955-10-01,2.052
118,1955-11-01,2.111
119,1955-12-01,2.424
120,1956-01-01,2.278
121,1956-02-01,1.969
122,1956-03-01,2.198
123,1956-04-01,2.628
124,1956-05-01,2.374
125,1956-06-01,2.333
126,1956-07-01,2.082
127,1956-08-01,2.396
128,1956-09-01,2.7
129,1956-10-01,2.56
130,1956-11-01,2.806
131,1956-12-01,3.077
132,1957-01-01,3.064
133,1957-02-01,2.938
134,1957-03-01,2.886
135,1957-04-01,3.021
136,1957-05-01,3.21
137,1957-06-01,3.083
138,1957-07-01,3.056
139,1957-08-01,3.072
140,1957-09-01,3.228
141,1957-10-01,3.361
142,1957-11-01,2.635
143,1957-12-01,2.728
144,1958-01-01,1.456
145,1958-02-01,1.137
146,1958-03-01,0.99
147,1958-04-01,1.155
148,1958-05-01,0.249
149,1958-06-01,0.747
150,1958-07-01,0.704
151,1958-08-01,1.872
152,1958-09-01,1.949
153,1958-10-01,1.822
154,1958-11-01,1.904
155,1958-12-01,2.419
156,1959-01-01,2.467
157,1959-02-01,2.379
158,1959-03-01,2.567
159,1959-04-01,2.739
160,1959-05-01,2.747
161,1959-06-01,2.774
162,1959-07-01,2.399
163,1959-08-01,3.477
164,1959-09-01,3.638
165,1959-10-01,3.169
166,1959-11-01,3.531
167,1959-12-01,4.079
168,1960-01-01,3.538
169,1960-02-01,3.807
170,1960-03-01,2.683
171,1960-04-01,2.97
172,1960-05-01,2.596
173,1960-06-01,1.655
174,1960-07-01,1.831
175,1960-08-01,1.972
176,1960-09-01,2.34
177,1960-10-01,1.606
178,1960-11-01,1.789
179,1960-12-01,2.026
180,1961-01-01,2.039
181,1961-02-01,2.482
182,1961-03-01,2.192
183,1961-04-01,1.933
184,1961-05-01,2.239
185,1961-06-01,2.078
186,1961-07-01,1.744
187,1961-08-01,2.047
188,1961-09-01,1.992
189,1961-10-01,1.957
190,1961-11-01,2.278
191,1961-12-01,2.483
192,1962-01-01,2.485
193,1962-02-01,2.485
194,1962-03-01,2.632
195,1962-04-01,2.694
196,1962-05-01,2.455
197,1962-06-01,2.928
198,1962-07-01,2.685
199,1962-08-01,2.661
200,1962-09-01,2.686
201,1962-10-01,2.533
202,1962-11-01,2.671
203,1962-12-01,2.941
204,1963-01-01,2.928
205,1963-02-01,2.842
206,1963-03-01,2.204
207,1963-04-01,2.853
208,1963-05-01,2.95
209,1963-06-01,2.975
210,1963-07-01,3.053
211,1963-08-01,3.264
212,1963-09-01,3.437
213,1963-10-01,3.364
214,1963-11-01,3.274
215,1963-12-01,3.511
216,1964-01-01,3.424
217,1964-02-01,3.528
218,1964-03-01,3.513
219,1964-04-01,3.32
220,1964-05-01,3.289
221,1964-06-01,3.456
222,1964-07-01,3.317
223,1964-08-01,3.398
224,1964-09-01,3.526
225,1964-10-01,3.451
226,1964-11-01,3.631
227,1964-12-01,3.561
228,1965-01-01,3.854
229,1965-02-01,3.866
230,1965-03-01,3.822
231,1965-04-01,3.885
232,1965-05-01,3.863
233,1965-06-01,3.787
234,1965-07-01,3.812
235,1965-08-01,3.807
236,1965-09-01,3.949
237,1965-10-01,3.917
238,1965-11-01,3.925
239,1965-12-01,4.44
240,1966-01-01,4.521
241,1966-02-01,4.497
242,1966-03-01,4.403
243,1966-04-01,4.631
244,1966-05-01,4.495
245,1966-06-01,4.495
246,1966-07-01,4.576
247,1966-08-01,4.792
248,1966-09-01,5.198
249,1966-10-01,4.848
250,1966-11-01,4.624
251,1966-12-01,4.699
252,1967-01-01,4.537
253,1967-02-01,4.372
254,1967-03-01,4.014
255,1967-04-01,3.543
256,1967-05-01,3.345
257,1967-06-01,3.748
258,1967-07-01,3.788
259,1967-08-01,3.928
260,1967-09-01,4.248
261,1967-10-01,4.185
262,1967-11-01,4.275
263,1967-12-01,4.426
264,1968-01-01,4.739
265,1968-02-01,4.788
266,1968-03-01,4.941
267,1968-04-01,5.335
268,1968-05-01,5.568
269,1968-06-01,5.289
270,1968-07-01,5.102
271,1968-08-01,5.049
272,1968-09-01,5.197
273,1968-10-01,5.336
274,1968-11-01,5.071
275,1968-12-01,6.138
276,1969-01-01,5.948
277,1969-02-01,5.892
278,1969-03-01,5.638
279,1969-04-01,6.111
280,1969-05-01,5.971
281,1969-06-01,6.256
282,1969-07-01,6.547
283,1969-08-01,7.047
284,1969-09-01,7.031
285,1969-10-01,6.694
286,1969-11-01,6.892
287,1969-12-01,7.28
288,1970-01-01,7.622
289,1970-02-01,6.683
290,1970-03-01,6.425
291,1970-04-01,6.523
292,1970-05-01,6.564
293,1970-06-01,6.119
294,1970-07-01,5.92
295,1970-08-01,6.238
296,1970-09-01,5.557
297,1970-10-01,5.455
298,1970-11-01,4.754
299,1970-12-01,4.572
300,1971-01-01,4.113
301,1971-02-01,3.25
302,1971-03-01,3.462
303,1971-04-01,3.807
304,1971-05-01,4.203
305,1971-06-01,4.95
306,1971-07-01,5.206
307,1971-08-01,4.456
308,1971-09-01,4.473
309,1971-10-01,4.057
310,1971-11-01,4.064
311,1971-12-01,3.33
312,1972-01-01,3.024
